country	capital	area	population	continent	currency
Guinea-Bissau	Bissau	36125	1861283	Africa	franc
Guyana	Georgetown	214970	777859	South America	dollar
Haiti	Port-au-Prince	27750	10981229	North America	gourde
Honduras	Tegucigalpa	112492	9265067	Central America	lempira
Hungary	Budapest	93011	9769526	Europe	forint
Iceland	Reykjavík	103004	357050	Europe	króna
India	New Delhi	3287263	1326093247	Asia	rupee
Indonesia	Jakarta	1904570	270625568	Asia	rupiah
Iran	Tehran	1648195	79966230	Asia	rial
Iraq	Baghdad	437072	38274618	Asia	dinar
Ireland	Dublin	70273	4761865	Europe	euro
Israel	Jerusalem	20770	9093000	Asia	new shekel
Italy	Rome	301338	60317000	Europe	euro
Ivory Coast	Yamoussoukro	322463	24294750	Africa	franc
Jamaica	Kingston	10992	2890299	North America	dollar
Japan	Tokyo	377972	126434565	Asia	yen
Jordan	Amman	89341	10428241	Asia	dinar
Kazakhstan	Nur-Sultan	2724900	18276500	Asia	tenge
Kenya	Nairobi	581309	48468138	Africa	shilling
Kingdom of the Netherlands	Amsterdam	42201	17100715	Europe	euro
Kiribati	South Tarawa	811	119940	insular Oceania	dollar
Kuwait	Kuwait City	17818	4600000	Asia	dinar
Kyrgyzstan	Bishkek	199951	6201500	Asia	som
Laos	Vientiane	236800	6858160	Asia	kip
Latvia	Riga	64589	1909000	Europe	euro
Lebanon	Beirut	10452	6100075	Asia	pound
Lesotho	Maseru	30355	2233339	Africa	loti
Liberia	Monrovia	111369	4731906	Africa	dollar
Libya	Tripoli	1759541	6678567	Africa	dinar
Liechtenstein	Vaduz	160	37922	Europe	franc
Lithuania	Vilnius	65300	2790842	Europe	euro
Luxembourg	Luxembourg	2586	626108	Europe	euro
Madagascar	Antananarivo	587295	25570895	Africa	ariary
Malawi	Lilongwe	118484	18622104	Africa	kwacha
Malaysia	Kuala Lumpur	330290	31624264	Asia	ringgit
Maldives	Malé	298	436330	Asia	rufiyaa
Mali	Bamako	1240192	18541980	Africa	franc
Malta	Valletta	316	465292	Europe	euro
Marshall Islands	Majuro	181	53127	insular Oceania	dollar
Mauritania	Nouakchott	1030700	4420184	Africa	ouguiya
Mauritius	Port Louis	2040	1264613	Africa	rupee
Mexico	Mexico City	1972550	124777324	North America	peso
Moldova	Chișinău	33846	2550900	Europe	leu
Monaco	Monaco City	2	38695	Europe	euro
Mongolia	Ulaanbaatar	1566000	3075647	Asia	tugrik
Montenegro	Podgorica	13812	622359	Europe	euro
Morocco	Rabat	710850	36029138	Africa	dirham
Mozambique	Maputo	801590	29668834	Africa	metical
Myanmar	Naypyidaw	676577	53370609	Asia	kyat
Namibia	Windhoek	825615	2533794	Africa	dollar
Nauru	Yaren District	21	13650	insular Oceania	dollar
Nepal	Kathmandu	147181	30327877	Asia	rupee
New Zealand	Wellington	268021	5112300	insular Oceania	dollar
